"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://skillcrafttech.com/","text/html; charset=utf-8","200","OK","Indexable","","SkillCraft Technology","21","189","At SkillCraft Technology, we believe in the power of skills to shape futures. We are not just a company; we are craftsmen of talent, architects of opportunity, and builders of tomorrow.","185","1117","","0","Crafting Success through Technology","35","We provide industry designed internship programs.","49","Our Internships","15","","","","","","","","","","55991","16375","16375","2.427","","703","161","4.366","63.529","Normal","8.277","0","0","","17","4","0","100.000","26","5","0","6","3","0","","","","","bd9390c9b5ca02a9cc7a8cc497ae290e","2.439","","","","","en","1.1","","","","","","https://skillcrafttech.com/","2026-06-23 19:21:36"
"https://skillcrafttech.com/images/icon-03.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.401","","","","","","1.1","","","","","","https://skillcrafttech.com/images/icon-03.svg","2026-06-23 19:21:39"
"https://skillcrafttech.com/images/about-03.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","167456","167456","167456","24.817","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.539","","","","","","1.1","","","","","","https://skillcrafttech.com/images/about-03.png","2026-06-23 19:21:39"
"https://skillcrafttech.com/images/shape-03.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.540","","","","","","1.1","","","","","","https://skillcrafttech.com/images/shape-03.svg","2026-06-23 19:21:39"
"https://skillcrafttech.com/images/shape-12.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.753","","","","","","1.1","","","","","","https://skillcrafttech.com/images/shape-12.svg","2026-06-23 19:21:39"
"https://skillcrafttech.com/images/icon-04.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","733","733","733","0.109","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.527","","","","","","1.1","","","","","","https://skillcrafttech.com/images/icon-04.svg","2026-06-23 19:21:40"
"https://skillcrafttech.com/images/shape-13.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.534","","","","","","1.1","","","","","","https://skillcrafttech.com/images/shape-13.svg","2026-06-23 19:21:40"
"https://skillcrafttech.com/images/icon-06.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","733","733","733","0.109","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.507","","","","","","1.1","","","","","","https://skillcrafttech.com/images/icon-06.svg","2026-06-23 19:21:40"
"https://skillcrafttech.com/images/about-02.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","165863","165863","165863","24.581","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.519","","","","","","1.1","","","","","","https://skillcrafttech.com/images/about-02.png","2026-06-23 19:21:40"
"https://skillcrafttech.com/images/logo-dark.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.535","","","","","","1.1","","","","","","https://skillcrafttech.com/images/logo-dark.svg","2026-06-23 19:21:40"
